name;operator;network;wheelchair;geom
Alsterblick;;;;0101000020E6100000A72D64647F3F24400798F90E7ED94A40
Bökenbarg;;;;0101000020E6100000886066E9543324403BC54F8825D94A40
Bökenbarg;;;;0101000020E61000003F42284A9D332440FBD97EE838D94A40
Duvenstedter Triftweg;;;;0101000020E61000002F9402C1D23B2440DA2DB8D562DA4A40
Mesterbrooksweg;;;;0101000020E6100000B6E3E198C0342440D8DBC1E336DA4A40
Specksaalredder;;;;0101000020E6100000D3FD9C82FC342440825BD2ACC7D94A40
Trilluper Weg;;;;0101000020E61000009BD9F85D22382440EC5A311290DA4A40
Trilluper Weg;;;;0101000020E6100000C2374D9F1D3824406F394D5590DA4A40
Treudelberg;;;;0101000020E6100000850EBA84432F24406DA752584ED64A40
Treudelberg;;;;0101000020E6100000A84E513FB92F2440061CF80780D64A40
Ödenweg;;;;0101000020E610000092A86109B5302440B3B6291E17D74A40
Ödenweg;;;;0101000020E61000007BFC3960B23024402BD1A3F32BD74A40
Frankring;;;;0101000020E6100000C0FFA03F7E502440CD96AC8A70D44A40
Frankring;;;;0101000020E6100000F00115E9D94F2440163F7C4F9BD44A40
Ohlendorffs Tannen;;;;0101000020E6100000001FBC76694B2440EE748CD074D54A40
Ohlendorffs Tannen;;;;0101000020E6100000BE65F3DD524B2440B2D2EEA18ED54A40
Rögenweg;;;;0101000020E610000000790A140C5224407FB78A0FFDD34A40
Rögenweg;;;;0101000020E61000007BD8B04BF9512440538259FC01D44A40
Beerbuschredder;;;;0101000020E61000001418FC47F03C244087DB46A8BED64A40
Beerbuschredder;;;;0101000020E610000057B7D507ED3C24409C61591FC5D64A40
Twietenkoppel;;;;0101000020E61000001D1549055F3E2440B45252712DD64A40
Stüffeleck;;;;0101000020E61000000C47EB03244924402D3CD45BA8D54A40
Alte Landstraße (Nord);;;;0101000020E6100000D55DD905832724407444BE4BA9D34A40
Alsterredder;;;;0101000020E610000071164042DE3024401F69705B5BD44A40
Alsterredder;;;;0101000020E6100000194ADC195C3124400F94258458D44A40
Bramkoppel;;;;0101000020E6100000AD5FFAA8D036244045FF5FD09DD44A40
Bramkoppel;;;;0101000020E61000006C5386BBC4362440E6362BECB3D44A40
Feldblumenweg;;;;0101000020E61000009AC7ABBD993624406F7E688B10D54A40
Feldblumenweg;;;;0101000020E6100000659934FC5D362440F2C1210A1CD54A40
Ilsenweg;;;;0101000020E6100000B588CD6CFC362440E71DA7E848D44A40
Ilsenweg;;;;0101000020E6100000FD9C2743FA362440CC4D2F8C4FD44A40
Mellingburgredder;;;;0101000020E610000048A066ED5B3624405A3739D78BD54A40
Weidende;;;;0101000020E61000004D78F82125342440E9CAB10639D44A40
Weidende;;;;0101000020E6100000718D74AB8C3324404829D7CA3AD44A40
Poppenbüttler Markt;;;;0101000020E6100000C19EC085862B2440860C3F9358D44A40
Poppenbüttler Markt;;;;0101000020E6100000EED11BEE232B2440E11CBF0177D44A40
Mellande;;;;0101000020E61000001BB8A8BB573624403CA3AD4A22D24A40
Mellande;;;;0101000020E61000003809EFBC9E3524404865D4C622D24A40
Garleff-Bindt-Weg;;;;0101000020E610000080DF1A33E4272440CE42F1193FD54A40
Garleff-Bindt-Weg;;;;0101000020E610000030EEAB17E8272440E0C14F1C40D54A40
Maike-Harder-Weg;;;;0101000020E610000058DEFA55252E2440C6562B6E37D54A40
Ohlendieck;;;;0101000020E610000038B00BF5AA2C24406F5402BDCBD44A40
Ohlendieck;;;;0101000020E61000006B5908BCDD2C24400C4856D9D2D44A40
Poppenbütteler Berg;;;;0101000020E61000002651D43EC2292440D28DB0A888D54A40
Poppenbütteler Berg;;;;0101000020E6100000D7C22CB4732A2440616EF7729FD54A40
Steinwerder, Fähre;;;;0101000020E6100000373003DF7EEE23402BD9565815C54A40
Neuenfelder Fährdeich (Ost);;;;0101000020E6100000EF76BD34459823400EE02D90A0C34A40
Organistenweg;;;;0101000020E61000008D8752D6CA9F2340188BF040AEC24A40
Gymnasium Marienthal;;;;0101000020E6100000C88B964DCA362440D37943D087C84A40
Auf dem Sande (Speicherstadt);;;;0101000020E610000030302B14E9FA23401D250A88A4C54A40
Rolfinckstraße;;;;0101000020E61000006F4100BA793024404D90C7C2C6D14A40
Rolfinckstraße;;;;0101000020E610000039D6C56D343024400CA47A21D3D14A40
Rolfinckstraße;;;;0101000020E61000007F9C7AEE4E302440127B57F3D2D14A40
Rolfinckstraße;;;;0101000020E61000007A69D48DC1302440782167ABDCD14A40
Gilcherweg;;;;0101000020E61000008C83F00D2A3A2440745E08DE35D24A40
Klinikum Nord, Heidberg;;;;0101000020E6100000BDB66DCE770E2440E6266A696ED64A40
Klinikum Nord, Heidberg;;;;0101000020E6100000471FF301810E2440C0F6274C73D64A40
Hohe Liedt;;;;0101000020E610000004DA67DF260D2440790F2B37ACD54A40
Hohe Liedt;;;;0101000020E6100000F5392D2E440D2440D03758EEBBD54A40
Wattkorn;;;;0101000020E6100000751607E11B0C244083CDEFEA0BD54A40
Wattkorn;;;;0101000020E6100000FB8E86F82C0C2440D822B3C414D54A40
Freizeitbad Bondenwald;;;;0101000020E61000008D6E7319EDDF2340F686568220D04A40
Freizeitbad Bondenwald;;;;0101000020E61000003D1460B3B7DF23400F208D5429D04A40
Kohlbergen;;;;0101000020E610000068C00FBD7B4E2440C35F387C77C54A40
Schlangenkoppel;;;;0101000020E6100000D71A4AED45482440A348522D7DC54A40
Schlangenkoppel;;;;0101000020E610000035F7EBA930492440231E3F0A8DC54A40
Reichsbahnstraße;;;;0101000020E6100000B8D49C1782D32340821DA44C0FCD4A40
Reichsbahnstraße;;;;0101000020E6100000556A9B87B8D22340C0EC9E3C2CCD4A40
Eidelstedter Platz;;;;0101000020E6100000CB7DBCA13ACF2340DB8937D7D5CD4A40
Eidelstedter Platz;;;;0101000020E610000002C4133070CF23407E12E9C8DBCD4A40
Eidelstedter Platz;;;;0101000020E61000007B23A93B05CF23401841086DDECD4A40
Eidelstedter Platz;;;;0101000020E610000081C7010528CF2340FABA0CFFE9CD4A40
Fährenkamp;;;;0101000020E61000000D608033E76F23403B6B01EB82CE4A40
Baron-Voght-Straße (Mitte);;;;0101000020E61000002EE57CB1F7BA234091FDE20808C74A40
Marxsenweg;;;;0101000020E6100000F6E51604A0BB2340DA73999A04C74A40
Teufelsbrück, Fähre;;;;0101000020E61000008F1D54E23ABA234077B2E5A617C64A40
Argentinienbrücke, Fähre;;;;0101000020E61000008805AD7603F32340E4FBE25295C34A40
Finkenwerder Landungsbrücke;;;;0101000020E6100000B1FA230C03C22340F94D61A582C44A40
Norderschulweg;;;;0101000020E610000066D58CB1B8C023400BE01C6448C44A40
Norderschulweg;;;;0101000020E6100000A3BE1BC17CC023406A2AD54F49C44A40
Howe;;;;0101000020E610000076A15E95B04B244028AE7488C9B54A40
Marmstorfer Weg (Nord);;;;0101000020E6100000C3537E0860F123409E4830D5CCB94A40
Marmstorfer Weg (Nord);;;;0101000020E610000047578E35C8F12340F7798CF2CCB94A40
Vierlandenstraße;;;;0101000020E6100000044D9539A76B2440D397947142BE4A40
Curslacker Brückendamm;;;;0101000020E6100000C381902C60662440D475F2333FBB4A40
Curslacker Brückendamm;;;;0101000020E61000004D73863D486624408C95E2F43FBB4A40
